Day,Exponential_Pred,Logistic_Pred,Richards_Pred,Gompertz_Pred,Gradient Boosting_Pred
350.0,21210.11501721035,20171.809955460176,20099.90656887094,19312.90416113427,24560.00000993042
351.0,21285.174637678174,20243.943129692532,20172.5633583733,19393.888717950897,24652.00000986493
352.0,21360.44233515308,20316.348289931317,20245.493006237186,19475.24764248261,24750.000009812127
353.0,21435.918686457087,20389.026237461854,20318.696313258904,19556.98127826447,24842.00000974299
354.0,21511.604270011223,20461.977774053546,20392.174080709454,19639.08996103065,24938.000009672145
355.0,21587.499665840027,20535.203701942148,20465.92711031678,19721.57401869956,25035.000009603693
356.0,21663.605455575933,20608.70482381194,20539.9562042479,19804.433771359276,25111.000009544
357.0,21739.922222463763,20682.481942777682,20614.26216509082,19887.66953125345,25218.000009507712
358.0,21816.45055136516,20756.53586236643,20688.84579583634,19971.281602767656,25293.00000943532
359.0,21893.191028763133,20830.867386499165,20763.70789985961,20055.270282416088,25384.000009362524
360.0,21970.14424276648,20905.47731947228,20838.8492809016,20139.635858828697,25451.000009308387
361.0,22047.310783114357,20980.366465938838,20914.27074305033,20224.378612738776,25536.0000092597
362.0,22124.691241180735,21055.535630889746,20989.973090721964,20309.49881697088,25629.00000920748
363.0,22202.286209979007,21130.985619634655,21065.957128641763,20394.996736429268,25687.000009173724
364.0,22280.09628416646,21206.717237782785,21142.223661824748,20480.872628086625,25709.000009108226
365.0,22358.122060048874,21282.731291223503,21218.773495556346,20567.12674097334,25753.0000090366
366.0,22436.364135585085,21359.028586106768,21295.607435372738,20653.759316167096,25857.00000896762
367.0,22514.82311039156,21435.60992882339,21372.72628704109,20740.770586782863,25968.00000890292
368.0,22593.499585747,21512.47612598511,21450.13085653961,20828.160777963407,26072.000008844454
369.0,22672.394164596953,21589.62798440451,21527.821950037396,20915.930106870088,26215.000008771283
370.0,22751.5074515584,21667.06631107474,21605.800373874128,21004.078782674173,26320.000008700878
