Day,Exponential_Pred,Logistic_Pred,Richards_Pred,Gompertz_Pred,Simple Average_Pred
338.0,20325.42183134364,19327.139702728047,19249.017280481126,18370.154494283735,19317.93332720914
339.0,20398.028944865244,19396.071418040206,19318.46203550638,18446.67625253601,19389.80966273696
340.0,20470.837336656652,19465.265547845098,19388.170082587687,18523.56765361168,19461.96015517528
341.0,20543.84756469268,19534.722886297903,19458.1422155029,18600.82913334125,19534.38544995868
342.0,20617.060188494965,19604.44422823732,19528.379228704434,18678.461119965737,19607.086191350616
343.0,20690.475769136207,19674.430369169793,19598.881917303435,18756.46403411679,19680.063022431557
344.0,20764.094869244494,19744.682105253676,19669.651077053884,18834.83828879722,19753.31658508732
345.0,20837.91805300761,19815.200233283096,19740.687504336533,18913.584289361916,19826.847519997285
346.0,20911.94588617734,19885.985550671838,19811.991996142613,18992.702433499246,19900.656466622757
347.0,20986.178936073844,19957.038855436884,19883.565350057495,19072.193111212775,19974.744063195252
348.0,21060.617771589972,20028.360946181943,19955.408364244064,19152.056704803457,20049.11094670486
349.0,21135.262963195626,20099.95262208071,20027.52183742601,19232.29358885224,20123.757752888647
350.0,21210.115082942153,20171.81468286005,20099.90656887094,19312.904130203045,20198.68511621905
351.0,21285.174704466706,20243.947928782916,20172.5633583733,19393.888687946197,20273.89366989228
352.0,21360.442402996658,20316.353160631203,20245.493006237186,19475.247613402244,20349.384045816823
353.0,21435.918755353996,20389.03117968837,20318.696313258904,19556.98125010623,20425.156874601875
354.0,21511.60433995975,20461.98278772193,20392.174080709454,19639.08993379229,20501.212785545853
355.0,21587.49973683842,20535.20878696574,20465.92711031678,19721.5739923788,20577.552406624935
356.0,21663.60552762243,20608.709980102176,20539.9562042479,19804.4337459538,20654.176364481576
357.0,21739.922295556575,20682.48717024408,20614.26216509082,19887.669506760918,20731.085284413097
358.0,21816.450625502504,20756.54116091659,20688.84579583634,19971.2815791857,20808.279790360284
359.0,21893.19110394319,20830.87275603874,20763.70789985961,20055.27025974231,20885.760504895963
360.0,21970.14431898742,20905.482759904975,20838.8492809016,20139.635837060658,20963.528049213663
361.0,22047.310860374313,20980.371977166404,20914.27074305033,20224.378591874007,21041.583043116265
362.0,22124.691319477864,21055.541212811964,20989.973090721964,20309.498797006905,21119.926105004673
363.0,22202.2862893114,21130.991272149317,21065.957128641763,20394.99671736353,21198.557851866502
364.0,22280.096364532208,21206.722960785708,21142.223661824748,20480.8726099166,21277.478899264817
365.0,22358.122141446063,21282.737084608496,21218.773495556346,20567.126723696434,21356.689861326835
366.0,22436.364218011768,21359.034449765626,21295.607435372738,20653.75929978068,21436.191350732704
367.0,22514.82319384578,21435.615862645885,21372.72628704109,20740.770571284294,21515.983978704266
368.0,22593.499670226774,21512.482129859003,21450.13085653961,20828.16076335001,21596.06835499385
369.0,22672.394250100264,21589.634058215488,21527.821950037396,20915.930093139163,21676.44508787308
370.0,22751.507538083246,21667.07245470646,21605.800373874128,21004.078769822976,21757.114784121703
371.0,22830.840140468776,21744.798126483125,21684.06693453961,21092.606994574242,21838.07804901644
372.0,22910.39266523067,21822.811880836212,21762.622438653067,21181.51496055939,21919.335486319836
373.0,22990.16572202815,21901.114525175108,21841.46769294232,21270.802852930974,22000.887698269136
374.0,23070.159922210467,21979.706867006957,21920.603504222796,21360.47084882062,22082.73528556521
375.0,23150.375878821684,22058.589713915426,22000.03067937626,21450.51911733228,22164.87884736141
376.0,23230.81420660527,22137.763873539443,22079.7500253295,21540.947819535984,22247.31898125255
377.0,23311.475522008892,22217.230153551594,22159.762349032724,21631.757108461956,22330.05628326379
378.0,23392.360443189096,22296.989361636537,22240.06845743784,21722.947129095162,22413.091347839658
379.0,23473.46959001604,22377.04230546899,22320.66915747654,21814.518018370218,22496.42476783295
380.0,23554.80358407829,22457.38979269182,22401.56525603816,21906.46990516674,22580.057134493753
381.0,23636.363048687508,22538.03263089365,22482.75755994743,21998.80291030512,22663.98903745843
382.0,23718.14860888332,22618.971627586572,22564.24687594198,22091.517146542625,22748.221064738624
383.0,23800.160891438034,22700.20759018344,22646.034010649684,22184.612718569988,22832.753802710286
