date,time_idx,best_model_forecast,best_ensemble_forecast,lower_bound_ci,upper_bound_ci
2027-03-21,1054.0,147251.46294530272,82899.51849678386,123072.82016020922,169945.39078953757
2027-03-28,1055.0,147457.9248464624,82827.6324766682,123315.95226060927,170105.7675053061
2027-04-04,1056.0,147664.0426524426,82564.78270882284,123529.00240527187,170265.12517926143
2027-04-11,1057.0,147869.81511856726,82562.24445279437,123723.11480862944,170424.03810157604
2027-04-18,1058.0,148075.24101135758,82562.38321038673,123916.98210876367,170600.20084170444
2027-04-25,1059.0,148280.3191085416,82521.35961236511,124110.60292633211,170788.439822193
2027-05-02,1060.0,148485.04819906296,81220.81272439673,124303.97589043799,170976.18833997834
2027-05-09,1061.0,148689.4270830896,81216.04574280707,124497.09963865613,171163.44601338127
2027-05-16,1062.0,148893.45457202068,80978.56208842577,124689.97281705921,171350.21247449363
2027-05-23,1063.0,149097.12948849384,80978.56023967432,124882.59408024269,171536.48736912504
2027-05-30,1064.0,149300.4506663913,80930.26484405031,125074.96209134955,171722.2703567492
2027-06-06,1065.0,149503.41695084516,80891.25104420696,125267.07552209454,171907.56111044975
2027-06-13,1066.0,149706.02719824246,80891.25110306419,125458.93305278764,172092.3593168653
2027-06-20,1067.0,149908.28027622934,80923.6293638474,125650.53337235704,172276.66467613407
2027-06-27,1068.0,150110.17506371404,80928.49866270958,125841.8751783717,172460.47690183818
2027-07-04,1069.0,150311.71045087042,80959.11465763772,126032.95717706322,172643.79572094703
2027-07-11,1070.0,150512.8853391395,80959.11543327116,126223.77808334706,172826.6208737604
2027-07-18,1071.0,150713.69864123125,80997.64949545101,126414.33662084346,173021.80920298112
2027-07-25,1072.0,150914.14928112528,81532.76034736226,126604.63152189774,173220.45268352178
2027-08-01,1073.0,151114.23619407116,81540.85764526567,126794.66152759975,173418.66778798625
2027-08-08,1074.0,151313.95832658766,81543.68442276586,126984.42538780316,173616.45393105387
2027-08-15,1075.0,151513.3146364619,81550.92577264496,127173.92186114406,173813.8105385083
2027-08-22,1076.0,151712.30409274745,81578.27705110493,127363.14971505888,174010.73704720932
2027-08-29,1077.0,151910.92567576183,81578.27705116602,127552.10772580196,174207.2329050638
2027-09-05,1078.0,152109.17837708362,81578.27705124888,127740.79467846247,174403.29757099663
2027-09-12,1079.0,152307.06119954863,81581.13340349952,127929.34150732117,174598.93051492082
2027-09-19,1080.0,152504.57315724564,81666.36066543704,128172.16915586471,174794.13121770747
2027-09-26,1081.0,152701.71327551143,81669.47845968194,128416.87221214942,174988.89917115512
2027-10-03,1082.0,152898.48059092514,81675.96285484967,128661.3585557671,175183.2338779586
2027-10-10,1083.0,153094.87415130236,81676.12941388355,128905.62580349145,175377.1348516779
2027-10-17,1084.0,153290.89301568782,81680.71286922036,129149.67158155616,175570.60161670597
2027-10-24,1085.0,153486.5362543485,81692.14282807731,129360.69668229885,175763.6337082367
2027-10-31,1086.0,153681.80294876517,81812.72768512336,129534.3763691067,175955.45506057527
2027-11-07,1087.0,153876.69219162405,81831.48613776936,129707.8277995378,176146.77782904077
2027-11-14,1088.0,154071.20308680742,81847.96920178761,129880.9890378663,176313.33773532137
2027-11-21,1089.0,154265.3347493838,81878.06590532843,130053.85915147592,176458.85534888523
2027-11-28,1090.0,154459.08630559762,81963.50360596488,130274.88001770395,176603.96348793662
2027-12-05,1091.0,154652.4568928581,82130.3367912226,130498.84861255703,176748.66240056636
2027-12-12,1092.0,154845.44565972764,82219.00200044617,130722.56694820194,176892.95234178926
2027-12-19,1093.0,155038.0517659098,88494.5950584285,130946.8063584397,177036.83357349708
2027-12-26,1094.0,155230.27438223633,88521.23465822887,131170.79753535753,177180.30636441163
2028-01-02,1095.0,155422.112690654,88564.48642123613,131394.53296277538,177323.37099003763
2028-01-09,1096.0,155613.56588421066,88619.41748013388,131618.01070346477,177466.02773261577
2028-01-16,1097.0,155804.63316704077,88620.21485267242,131841.22883016567,177608.27688107555
2028-01-23,1098.0,155995.31375435033,88694.98862368707,132064.1854256423,177750.1187309881
2028-01-30,1099.0,156185.60687240137,88947.66761081107,132286.87858273857,177903.84628608893
2028-02-06,1100.0,156375.51175849588,89169.52016282012,132509.30640443243,178071.16723113297
2028-02-13,1101.0,156565.02766095908,89546.51572753291,132731.4670038893,178237.99707425374
2028-02-20,1102.0,156754.15383912213,89549.17216515055,132953.35850451514,178404.3359461861
2028-02-27,1103.0,156942.88956330443,90704.958382143,133174.9790400082,178568.90738098326
2028-03-05,1104.0,157131.2341147955,90890.21827061879,133396.32675441058,178715.91242177304
